phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,13592,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
practice,NA,-2,apple_2,skip,NaN,3023,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
practice,NA,-1,apple_3,skip,NaN,3370,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
practice,NA,0,apple_1,skip,NaN,11078,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,1,BI2A00044,definitely NO,-1.5,13720,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,not. I can tell,
study,Do you think this one is an animal?,2,BI2A00010,maybe YES,0.5,15401,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,animal fur,
study,Do you think this one is an animal?,3,BI2A00017,maybe YES,0.5,8210,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,4,BI2A00018,definitely YES,1.5,10992,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,5,BI2A00007,definitely YES,1.5,15874,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,"animal, cuz I see fur",
study,Do you think this one is an animal?,6,BI2A00025,definitely NO,-1.5,13299,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,carpet,
study,Do you think this one is an animal?,7,BI2A00019,definitely YES,1.5,7829,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,animal,
study,Do you think this one is an animal?,8,BI2A00035,definitely NO,-1.5,9203,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,9,BI2A00036,maybe NO,-0.5,37219,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,"animals don't have those little fuzzes, rugs are square",
study,Do you think this one is an animal?,10,BI2A00005,definitely YES,1.5,7827,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,11,BI2A00026,maybe NO,-0.5,6248,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
study,Do you think this one is an animal?,12,BI2A00027,definitely NO,-1.5,9624,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one can remember things?,13,BI2A00011,maybe NO,-0.5,47134,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,I cannot,
bonus,Do you think this one can feel hungry?,14,BI2A00006,maybe YES,0.5,11728,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one can feel pain?,15,BI2A00044,maybe NO,-0.5,25126,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,cuz it's not an animal,
bonus,Do you think this one can sense things close by?,16,BI2A00028,maybe NO,-0.5,10113,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one can hear?,17,BI2A00026,NO,NaN,9951,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one has feelings?,18,BI2A00046,maybe NO,-0.5,8220,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one can feel happy?,19,BI2A00021,definitely NO,-1.5,8645,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,,
bonus,Do you think this one can think?,20,BI2A00037,definitely NO,-1.5,16878,k06,3/28/09,3/13/15,5.961643836,13:18,set3,always,female,because it looks,
