phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
study,do you think this one is an animal?,1,BI2A00008,y,NaN,13834,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,2,BI2A00003,y,NaN,6708,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,3,BI2A00047,y,NaN,6074,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,4,BI2A00015,y,NaN,4702,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,5,BI2A00033,y,NaN,6277,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,6,BI2A00046,y,NaN,8057,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,7,BI2A00014,y,NaN,16725,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,maybe a giraffe,
study,do you think this one is an animal?,8,BI2A00031,y,NaN,17155,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,maybe a polkadot,
study,do you think this one is an animal?,9,BI2A00043,y,NaN,13347,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,maybe a panda,
study,do you think this one is an animal?,10,BI2A00020,y,NaN,8274,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,11,BI2A00028,y,NaN,9639,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
study,do you think this one is an animal?,12,BI2A00030,y,NaN,15524,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,a baby panda,
bonus,do you think this can feel happy?,13,BI2A00043,y,NaN,11193,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
bonus,do you think this one can think?,14,BI2A00046,y,NaN,7455,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
bonus,do you think this one has feelings?,15,BI2A00020,y,NaN,9240,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,,
bonus,do you think this one can feel hungry?,16,BI2A00003,skip,NaN,17981,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,baby giraffe,
bonus,do you think this one can feel pain?,17,BI2A00008,skip,NaN,20844,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,a brother giraffe,
bonus,do you think this one can sense things nearby?,18,BI2A00031,skip,NaN,15234,p06,11/15/11,2/27/15,3.287671233,,set1,always,female,a baby giraffe,
